DrugName,DrugID,PubChemID,Target,Disease,Side_effect,NewDirectTarget,NewIndirectTarget,NewDisease,Evidence,Insilico,Invitro,Invivo,Clinicaltrial,SupportedSentences,PMID
Meclozine,DB00737,4034,NR1I3,Motion sickness,,,FGFR3,Achondroplasia,Alcian blue staining; Total RNA extraction and real-time RT-PCR analysis; Growth assay; Bone explant culture; Western blotting,,Alcian blue staining; RT-PCR; Growth assay; Bone explant culture; Western blot,,,Meclozine facilitates chondrocyte proliferation and mitigates loss of extracellular matrix in FGF2-treated RCS cells; Meclozine mitigates abnormally suppressed differentiation of ATDC5 chondrogenic cells expressing FGFR3-G380R and -K650E in micromass culture; Meclozine attenuates ERK phosphorylation in FGF2- treated RCS cells,24324705
Empagliflozin,DB06292,11949646,SC5A2,Type-1 diabetes,,,human equilibrative nucleoside transporter 1,Blood-brain barrier crossing ability,chromatographic bioassay,,Chromatographic bioassay,,,"First, ligand-based target fishing reveals possible targets for gliflozins. They showed an ability to bind with human equilibrative nucleoside transporter 1, a regulator of adenosine extracellularly",36637096
Canagliflozin,DB09017,24812758,SC5A2,Type-1 diabetes; Type-2 diabetes; Diabetic nephropathy,,,human equilibrative nucleoside transporter 1,Blood-brain barrier crossing ability,chromatographic bioassay,,Chromatographic bioassay,,,"First, ligand-based target fishing reveals possible targets for gliflozins. They showed an ability to bind with human equilibrative nucleoside transporter 1, a regulator of adenosine extracellularly",36637096
Dapagliflozin,DB06292,9887712,SC5A2,Type-2 diabetes,,,human equilibrative nucleoside transporter 1,Blood-brain barrier crossing ability,chromatographic bioassay,,Chromatographic bioassay,,,"First, ligand-based target fishing reveals possible targets for gliflozins. They showed an ability to bind with human equilibrative nucleoside transporter 1, a regulator of adenosine extracellularly",36637096
Suramin,DB04786,5361,FSHR; HPSE,African trypanosomiasis,,,Ser135 residue; NS2B/NS3 proteinase,Zika virus infection,fluorescence spectroscopy; STD NMR spectroscopy; Inhibition assay,,Fluorescence spectroscopy; STD NMR spectroscopy; Inhibition assay,,,The computational analysis showed that suramin block the Ser135 residue and interact with the catalytically histidine residue.,30393012
Levosimendan,DB00922,3033825,TNNC1,Congestive heart failure; Heart failure; Cardiac output syndrome; Pulmonary hypertension,,,serine/threonine-protein kinase RIOK1,Lymphoma,Kinase binding assay; Cancer cell line assay,,Kinase binding assay; Cancer cell line assay,,,Levosimendan can inhibit the proliferation of multiple types of cancer cells,31206508
Honokiol,,72303,PGH2; PGH1; LOX5,Non-alcoholic steatohepatitis (NASH),,,AMPK?31,Non-alcoholic fatty liver (NAFLD),Transcriptomic examination; biotin-streptavidin binding assays; western blot,,Transcriptomic examination; Biotin-streptavidin binding assays; Western blot,,,"Using a primary mouse hepatocyte model, we further confirmed the lipid-lowering and anti-inflammatory effects of honokiol with well-tolerable safety; Honokiol ameliorates high-fat diet (HFD)-induced NAFLD",36932412
Simvastatin,DB00641,54454,HMDH,Hypercholesterolaemia,,,IL-6; TNF-?¡À; IL-1?2,Antibacterial,Gram-negative bacteria outer membrane permeabilization assay; Antibacterial assay; Macromolecular synthesis assay; Proteomics assay; Mitochondrial biogenesis assay; ELISA; ; Cell-free bacterial transcription/translation assay; Synergistic assay; In vitro antibacterial assays,,Gram-negative bacteria outer membrane permeabilization assay; Antibacterial assay; Macromolecular synthesis assay; Proteomics assay; Mitochondrial biogenesis assay; ELISA; ; Cell-free bacterial transcription/translation assay; Synergistic assay; Antibacterial assays,,,Simvastatin causes extensive protein degradation and disrupts cellular homeostasis,37337909
Cefdinir,DB00535,6915944,Bacterial cell wall,Bacterial infection,,,Mtb ?2-lactamase,Tuberculosis (TB),Minimum inhibitory concentration (MIC) Tests; dose-response study,,MIC Tests; Dose response study,,,"In the HFS-TB model, cefdinir showed efficacy against both drug susceptible and MDR-TB without combination of ?2-lactamase inhibitor.",34163361
Nitazoxanide,DB00507,41684,PNO,Diarrhea; Coronavirus Disease 2019 (COVID-19),,,NLRP3,Atherosclerosis,Boyden chamber assay; immunofluorescence staining; western blot,,Boyden chamber assay; Immunofluorescence staining; Western blot,,,The in vitro experiments showed that nitazoxanide and tizoxanide had a mitochondrial uncoupling effect and activated cellular AMPK; The in vivo experiments demonstrated that oral administration of nitazoxanide reduced the increase in serum IL-1?2 and IL-6 levels and suppressed atherosclerosis in Western diet-fed ApoE (-/-) mice,36082580
Protriptyline,DB00344,4976,SC6A2,Depression,,,Acetylcholinesterase (AChE); ?2-secretase (BACE-1); amyloid ?2 (A?2),Alzheimer's disease,biophysical assays; isothermal calorimetry; fluorescence quenching,Virtual screening,Biophysical assays; Isothermal calorimetry; Fluorescence quenching,,,Protriptyline Inhibits AChE Activity by Inducing Conformational Change in the Active Site; Protriptyline Inhibits Ab Self-Assembly; Protriptyline Inhibits Glycation Associated Aggregation of Ab,25141174
Cisplatin,DB00515,2767,TERT,Solid tumour/cancer; Osteosarcoma,,,type III secretion system (T3SS),Nosocomial pathogen Pseudomonas aeruginosa,MIC assay; RNA sequencing; qRT-PCR analysis; P. aeruginosa biofilm killing assay; RAW264.7 macrophage cytotoxicity assay,,MIC assay; RNA sequencing; RT-qPCR; P. aeruginosa biofilm killing assay; RAW264.7 macrophage cytotoxicity assay,,,"In addition, cisplatin treatment induced the expression of a series of genes involved in energy metabolism, which corroborated with previous proteomics work showing that cisplatin could interfere with stress response and energy metabolism in E. coli; Cisplatin showed efficient killing capacity on P. aeruginosa cells from infected mouse corneas and there was a significant reduction in the bacterial loads from the cisplatin treated corneas as compared to the control corneas",30591828
Dimercaprol,DB06782,3080,Heavy metal ions,Poison intoxication,,,SVMPs,Snakebite,clinical trails; screening,Virtual screening,,,Phase-1 clinical trial,Unithiol and other small molecule venom inhibitors therefore have the potential to inhibit a globally diverse range of snake venoms,35372700
Dasatinib,DB01254,3062316,SRC; LCK; FYN; BCR; ABL1,Chronic myelogenous leukaemia; Multiple myeloma,May exacerbate progression of the tumors,,SFKs; BTKs,Type III EBV+ B cell malignancies,Cell culture; flow cytometry; Western blotting; qPCR; immunohistochemistry,,Cell culture; Flow cytometry; Western blot; RT-qPCR; Immunohistochemistry,,,"We found that dasatinib, which is a multi-target kinase inhibitor and already in clinical use for CML and Ph+ ALL, induces cell death in the LCLs in vitro; Dasatinib treatment exacerbates splenomegaly of mice inoculated with EBV-LCLs",32152351
Sulforaphane,DB12422,9577379,Nrf2,Solid tumour/cancer,,,B cell lymphoma 2 (Bcl 2); Bcl 2 associated X protein; cytochrome c; Caspase 3; phosphorylated AKT; phosphorylated nuclear factor ?oB; P53; P27; Cyclin D1; EGFR2; cMyc,Ovarian cancer,Cell culture; migration assay; cell viability assay; immunofluorescence assay; cell proliferation assay; cell wound healing assay; Immunohistochemical (IHC) assay; Western blot; Xenograft,,Cell culture; Migration assay; Cell viability assay; Immunofluorescence assay; Cell proliferation assay; Cell wound healing assay; Immunohistochemical assay; Western blot,Xenograft,,Sulforaphane effectively suppresses human ovarian cancer cell proliferation,30226534
Curcumin,DB11672,969516,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,,ALDH1A1,NF-?oB; Akt/mTOR; HIF1?¡À,Ovarian cancer,Western blot; In vitro cytotoxicity (MTT) assay; Adhesion assay; Mesothelial clearance assay,,Western blot; MTT assay; Adhesion assay; Mesothelial clearance assay,,,Our experiments provided evidence that curcumin could abolish the sphere-forming capacity of EOC cells in a dose-dependent manner.,27863439
Artesunate,DB09274,6917864,cell membrane,Malaria,,,NFa€?DoB; p38 mitogena€?activated protein kinase (MAPK) signaling,Depression,Behavioral tests,,Behavioral tests,,,"These results indicate that pretreatment with artesunate exerts protective effects against H2O2a€?induced cellular injury.; Together, these results suggest that artesunate exerted antidepressanta€? and anxiolytica€?like effects in mice.",36573693
Suramin,DB04786,5361,FSHR; HPSE,African sleeping sickness; African river blindness; African trypanosomiasis,,VEGF; bFGF,,Breast cancer lung metastasis,Wound healing assay; Cell invasion assay; Endothelial tube formation assay; Cell viability assay; Immunohistochemistry; histological analysis,,Wound healing assay; Cell invasion assay; Endothelial tube formation assay; Cell viability assay; Immunohistochemistry; Histological analysis,,,The In vivo experiment proved that GCS-SM/DOX NP could greatly inhibit breast cancer lung metastases and improve the survival time for mice while not inducing the cardiotoxicity and renal toxicity associated with its free drug counterpart,30528604
Mebendazole,DB00643,4030,Tubulin,Worm infection,,,ABL1; MAPK1/ERK2; MAPK14/p38?¡À,Brain tumors,Cell culture; cell viability assay; gene expression analysis; ; kinase assay; NanoBERT target engagement assay; Thermal-shrift assay; Isothernal-tirration calorimetry; Nano Differential Scanning fluorimetry (nanoDSF),,Cell culture; Cell viability assay; Gene expression analysis; Kinase assay; NanoBERT target engagement assay; Thermal-shrift assay; Isothernal-tirration calorimetry; nanoDSF,,,"Finally, gene silencing demonstrated that MAPK14 is involved in glioblastoma tumor spheroid growth and response to mebendazole treatment; Mebendazole exerts potent anti-proliferative effects against GBM cell lines in vitro",33021050
Ciclopirox,DB01188,2749,cell membrane,Fungal infection,,PERK-dependent endoplasmic reticulum (ER),,Non-small cell lung cancer (NSCLC),Cell culture; Cell viability and proliferation assay; Colony formation assay; In vitro cell migration and invasion assays; qPCR; apoptosis assay; Immunohistochemistry (IHC) staining; Western blot,,Cell culture; Cell viability assay; Gene expression analysis; Kinase assay; NanoBERT target engagement assay; Thermal-shrift assay; Isothernal-tirration calorimetry; nanoDSF,,,"These findings suggested that the anticancer activity of CPX for NSCLC was at least partially via arresting the cell cycle.; These findings indicated that CPX inhibits NSCLC cell migration and invasion through regulating EMT.; Collectively, these results suggest that mitochondrial respiration interruption and increase of ROS might contribute to CPX-induced growth inhibition of the NSCLC cells.",35331268
Riluzole,DB00740,5070,SCNBA,Amyotrophic lateral sclerosis,,,Glutamate,"Niemann-Pick disease, type C1",cell culture; qPCR; Immunofluorescence; Flow Cytometry analysis,,Cell culture; RT-qPCR; Immunofluorescence; Flow cytometry analysis,,,"Decreased expression of EAAT1 protein and functional impairment of glutamate uptake by Npc1 / astrocytes, is consistent with the hypothesis that glutamate-mediated neurotoxicity contributes to NPC1 neuropathology; These data suggest that drugs which decrease endolysosomal glycosphingolipid (miglustat) or unesterified cholesterol (HP?2CD) improve glutamate uptake by Npc1 mutant astrocytes.; The observation that riluzole appears to have more of an impact on astrogliosis also suggests that combining riluzole with an anti-inflammatory drug which suppresses microgliosis may be of benefit.",34802899
Valproic acid,DB00313,3121,GSK3A,Epilepsy; Hypercholesterolemia; Coronavirus Disease 2019 (COVID-19),,,Histone deacetylase inhibitors (HDACi); HMG-CoA reductase (HMGCR),Prostate cancer,Cell proliferation assay; Caspase 3/7 bioluminescence assay; Flow cytometry analysis; Clonogenic agarassay; Western blot; Spheroid-forming assay; Real-time PCR; ; Immunofluorescence assay; Limiting-dilution assay,,Cell proliferation assay; Caspase 3/7 bioluminescence assay; Flow cytometry analysis; Clonogenic agarassay; Western blot; Spheroid-forming assay; Real-time PCR; ; Immunofluorescence assay; Limiting-dilution assay,,,The ability of valproic acid/simvastatin combination to sensitize mCRPC cells to docetaxel and to revert docetaxel-resistance is modulated by mevalonate pathway/YAP axis; Valproic acid and simvastatin combination induces synergistic antitumor effect in prostate cancer cells via concurrent inhibition of the mevalonate pathway,33032653
Simvastatin,DB00641,54454,HMDH,Epilepsy; Hypercholesterolaemia,,,Histone deacetylase inhibitors (HDACi); HMG-CoA reductase (HMGCR),Prostate cancer,Cell proliferation assay; Caspase 3/7 bioluminescence assay; Flow cytometry analysis; Clonogenic agarassay; western blotting; Spheroid-forming assay; Real-time PCR; ; Immunofluorescence assay; Limiting-dilution assay,,Cell proliferation assay; Caspase 3/7 bioluminescence assay; Flow cytometry analysis; Clonogenic agarassay; Western blot; Spheroid-forming assay; Real-time PCR; ; Immunofluorescence assay; Limiting-dilution assay,,,The ability of valproic acid/simvastatin combination to sensitize mCRPC cells to docetaxel and to revert docetaxel-resistance is modulated by mevalonate pathway/YAP axis; Valproic acid and simvastatin combination induces synergistic antitumor effect in prostate cancer cells via concurrent inhibition of the mevalonate pathway,33032653
